intent;example;Kommentar
fellow_students;Wer sind meine Kommilitonen?;
bafög;Was ist Bafög?;
bafög;Was ist BAföG?;
bafög_antrag;Wo kann ich Bafög beantragen?;
bafög_antrag;Wie erreiche ich das Bafög-Amt?;
bafög_antrag;Wie erreiche ich das Bafög Amt?;
bafög_antrag;Ich möchte Bafög beantragen.;
bafög_antrag;Ich brauche Hilfe bei Bafög.;
bafög_antrag;Ich brauche Hilfe für meinen Bafög-Antrag.;
bafög_antrag;Ich brauche Hilfe für meinen Bafög Antrag.;
bafög_antrag;Wo finde ich Hilfe für meinem Bafög-Antrag?;
bafög_antrag;Ich brauche Hilfe beim Bafög-Antrag.;
bafög_antrag;Wo kann ich BAföG beantragen?;
bafög_antrag;Wie erreiche ich das BAföG-Amt?;
bafög_antrag;Wie erreiche ich das BAföG Amt?;
bafög_antrag;Ich möchte BAföG beantragen.;
bafög_antrag;Ich brauche Hilfe bei BAföG.;
bafög_antrag;Ich brauche Hilfe für meinen BAföG-Antrag.;
bafög_antrag;Ich brauche Hilfe für meinen BAföG Antrag.;
bafög_antrag;Wo finde ich Hilfe für meinem BAföG-Antrag?;
bafög_antrag;Ich brauche Hilfe beim BAföG-Antrag.;
student_council;Was ist die Fachschaft?;
student_council;Was ist eine Fachschaft?;
student_council;Was versteht man unter der Fachschaft?;
student_council;Wie erreiche ich die Fachschaft?;
student_council;Wer vertritt die Interessen der Studierenden?;
student_council;Wer vertritt die Interessen der Studenten?;
instagram;Instagram;
instagram;Insta;
instagram;Seid ihr auch auf Insta?;
instagram;Seid ihr auch auf Instagram?;
instagram;Kann man euch auf Insta finden?;
instagram;Kann man euch auf Instragram finden?;
instagram;Findet man euch auf Insta?;
instagram;Findet man euch auf Instagram?;
chairs;Wo finde ich die Lehrstühle?;
chairs;Wo finde ich Informationen zu den Lehrstühlen?;
chairs;Welche Lehrstühle gibt es?;
chairs;Wie viele Lehrstühle gibt es?;
chairs;Wo finde ich weitere Informationen zu den angebotenen Fächern?;Konflikt mit course_cataloge?
apartment_search;Ich finde kein Zimmer.;
apartment_search;Ich finde keine Wohnung.;
apartment_search;Ich brauche Unterstützung bei der Wohnungssuche.;
apartment_search;Wo finde ich Hilfe zur Wohnungssuche?;
apartment_search;Wie finde ich ein Zimmer?;
apartment_search;Wie finde ich ein Zimmer in Würzburg?;
apartment_search;Ich würde gerne nach Würzburg ziehen?;
apartment_search;Wo finde ich Wohnungen in Würzburg?;
wuerzburg;Was macht Würzburg aus?;
wuerzburg;Was kann ich in Würzburg machen?;
wuerzburg;Welche Aktivitäten kann man in Würzburg machen?;
wuerzburg;Welche Sehenswürdigkeiten findet man in Würzburg?;
residence_registration;Wie melde ich mich in Würzburg an?;
residence_registration;Wo ist das Bürgerbüro in Würzburg?;
residence_registration;Wann muss ich meine Wohnung in Würzburg anmelden?;
